Primary,Secondary,0
Hail,Thunderstorm Wind,46731
Thunderstorm Wind,Hail,40967
Thunderstorm Wind,Flash Flood,23350
Hail,Flash Flood,14420
Thunderstorm Wind,Tornado,10981
Flash Flood,Flood,7606
Tornado,Hail,4780
Thunderstorm Wind,Lightning,4670
Heat,Excessive Heat,4569
Excessive Heat,Heat,3594
Heavy Rain,Flash Flood,2494
Tornado,Flash Flood,2452
Heavy Rain,Flood,2158
Hail,Lightning,1817
Marine Thunderstorm Wind,Waterspout,1354
Excessive Heat,Drought,1298
Heat,Drought,1192
Funnel Cloud,Hail,1094
Funnel Cloud,Thunderstorm Wind,1080
Blizzard,Extreme Cold/Wind Chill,1052
